timestamp,mic,accel_x,accel_y,accel_z
65078,1,3.57,-1.22,10.59
65448,3,1.77,-0.82,10.63
65820,7,-0.04,0.55,9.41
66178,7,3.73,-0.08,10.67
66549,5,-2.20,2.71,7.53
66906,9,2.16,-1.10,7.18
67263,8,-2.28,2.47,7.41
67620,3,-1.65,0.47,7.57
67978,2,0.00,-0.39,9.30
68334,2,-1.37,3.33,8.32
68691,0,-1.88,0.90,8.12
69049,3,1.92,-0.27,10.24
69421,0,1.92,1.02,10.28
69777,2,0.55,-2.75,8.79
70134,1,-1.41,1.65,8.00
70492,1,-0.24,0.63,9.34
70849,3,0.71,0.90,8.55
71191,6,-0.27,0.59,9.81
71548,5,-3.26,2.59,7.69
71906,2,-2.35,2.39,6.90
72263,3,1.80,-0.47,9.45
72620,4,-3.77,1.80,7.96
72977,0,0.55,2.20,8.94
73320,2,1.06,-2.86,9.06
73677,6,2.04,-0.27,10.32
74049,6,-0.71,2.12,7.10
74405,2,-0.59,2.08,9.34
74763,8,0.35,-0.71,9.96
75120,4,-0.78,-2.31,8.67
75491,3,0.27,-0.55,9.89
75848,13,1.22,-2.24,8.94
76220,8,2.08,0.51,10.24
76577,2,2.20,0.59,10.83
76934,3,-0.82,3.37,7.22
77291,3,1.61,0.94,7.34
77634,4,0.35,0.12,8.98
77977,9,0.86,-0.16,9.92
78334,2,-2.51,3.22,7.06
78691,6,2.31,3.02,7.41
79034,10,-0.20,2.20,8.36
79406,6,1.84,0.04,9.96
79749,2,0.67,0.90,7.06
80091,4,3.10,0.82,9.34
80434,1,-1.84,-0.78,8.75
80805,2,0.12,-0.47,7.88
81163,1,0.75,-0.94,8.51
81519,3,-1.84,1.69,7.88
81876,2,-1.22,1.65,7.26
82234,1,2.43,0.55,9.89
82577,2,-2.24,2.75,6.94
82934,2,-1.92,2.08,8.43
83291,7,3.22,0.43,10.55
83648,10,1.88,0.75,9.69
84005,5,1.61,-0.20,10.40
84376,4,-2.47,3.30,7.02
84733,0,-2.47,3.45,7.57
85091,2,-3.22,3.14,7.10
85448,5,-2.16,1.29,7.10
85806,13,-2.43,-1.14,9.73
86191,2,3.06,-0.12,10.71
86562,2,-1.80,0.43,10.47
86934,1,2.51,0.31,10.32
87290,4,3.73,0.27,10.59
87648,7,-1.37,-0.71,8.51
88019,1,3.57,1.69,10.87
88377,2,-1.69,1.65,7.77
88733,5,-1.49,-0.94,8.12
89105,12,-2.43,0.55,8.08
89477,9,-1.77,1.41,6.90
89833,3,-1.65,2.00,7.96
90190,9,3.22,-0.12,10.43
90562,8,0.31,2.55,8.12
90905,8,-1.80,1.41,7.49
91261,9,0.98,2.86,7.34
91604,0,-2.08,0.00,10.00
91976,7,0.39,0.51,9.96
92319,4,0.27,2.86,7.96
92662,3,-0.98,1.80,6.83
93019,1,-3.41,3.10,6.79
93376,1,3.77,0.39,10.59
93733,1,-1.61,2.16,7.34
94091,1,1.88,-0.71,9.45
94447,11,1.88,-0.55,7.81
94819,8,2.31,-0.27,10.47
95191,1,-1.49,1.45,8.24
95548,6,0.20,1.73,6.63
95890,12,-3.26,-1.06,9.57
96276,4,2.24,1.80,9.26
96619,9,2.55,-0.90,9.81
96976,2,-0.90,0.39,8.16
97333,0,-3.73,-1.49,8.90
97704,7,1.02,0.00,10.43
98062,13,-0.75,0.59,10.00
98447,12,-2.67,-0.31,7.65
98833,2,1.10,-0.04,10.79
