timestamp,media_mic,std_mic,media_ax,std_ax,media_ay,std_ay,media_az,std_az
1224,5.2400,3.6691,-0.0047,0.0202,0.5837,0.0300,8.6440,0.0382
2135,4.5200,3.4885,0.0235,0.0222,0.6370,0.0487,8.6455,0.0415
3019,5.7600,4.8355,-0.0157,0.0222,0.5915,0.0154,8.6518,0.0334
3919,5.3600,3.5086,0.0298,0.0230,0.6496,0.0386,8.6393,0.0389
4805,5.3200,3.9468,-0.0094,0.0230,0.5915,0.0292,8.6424,0.0363
5705,5.1200,3.3024,0.0251,0.0245,0.6496,0.0485,8.6644,0.0558
6591,4.4000,3.3823,-0.0078,0.0248,0.5711,0.0274,8.6408,0.0393
7491,4.0800,2.8833,0.0298,0.0255,0.6512,0.0368,8.6503,0.0431
8377,5.6400,3.9687,-0.0000,0.0761,0.6104,0.1053,8.6440,0.0442
